date,channel,spend,signup_date,new_users,cac
2023-01-01,partner,10051.199999999999,2023-01-01,3.0,3350.3999999999996
2023-01-01,other,4524.0,2023-01-01,3.0,1508.0
2023-01-01,organic,3524.4,2023-01-01,5.0,704.88
2023-01-01,event,9626.0,2023-01-01,3.0,3208.6666666666665
2023-01-01,ads,26070.0,2023-01-01,3.0,8690.0
2023-02-01,partner,18507.6,2023-02-01,4.0,4626.9
2023-02-01,other,5342.400000000001,2023-02-01,2.0,2671.2000000000003
2023-02-01,organic,5893.5,2023-02-01,1.0,5893.5
2023-02-01,event,17995.0,2023-02-01,4.0,4498.75
2023-02-01,ads,15544.5,2023-02-01,7.0,2220.6428571428573
2023-03-01,partner,14337.6,2023-03-01,3.0,4779.2
2023-03-01,other,9351.2,2023-03-01,8.0,1168.9
2023-03-01,organic,1667.3999999999999,2023-03-01,4.0,416.84999999999997
2023-03-01,event,13697.0,2023-03-01,4.0,3424.25
2023-03-01,ads,12169.5,2023-03-01,1.0,12169.5
2023-04-01,partner,16177.199999999999,2023-04-01,5.0,3235.4399999999996
2023-04-01,other,15299.2,,0.0,
2023-04-01,organic,2568.9,2023-04-01,4.0,642.225
2023-04-01,event,5574.0,2023-04-01,2.0,2787.0
2023-04-01,ads,9892.5,2023-04-01,4.0,2473.125
2023-05-01,partner,12838.8,2023-05-01,3.0,4279.599999999999
2023-05-01,other,8192.0,2023-05-01,6.0,1365.3333333333333
2023-05-01,organic,3001.2,2023-05-01,2.0,1500.6
2023-05-01,event,17700.0,2023-05-01,7.0,2528.5714285714284
2023-05-01,ads,22741.5,2023-05-01,8.0,2842.6875
2023-06-01,partner,20204.399999999998,2023-06-01,2.0,10102.199999999999
2023-06-01,other,8090.400000000001,2023-06-01,5.0,1618.0800000000002
2023-06-01,organic,2651.4,2023-06-01,3.0,883.8000000000001
2023-06-01,event,12187.0,2023-06-01,2.0,6093.5
2023-06-01,ads,20458.5,2023-06-01,1.0,20458.5
2023-07-01,partner,20068.8,2023-07-01,4.0,5017.2
2023-07-01,other,14548.800000000001,2023-07-01,1.0,14548.800000000001
2023-07-01,organic,4161.599999999999,2023-07-01,4.0,1040.3999999999999
2023-07-01,event,11109.0,2023-07-01,2.0,5554.5
2023-07-01,ads,9277.5,2023-07-01,3.0,3092.5
2023-08-01,partner,9592.8,2023-08-01,3.0,3197.6
2023-08-01,other,11116.0,2023-08-01,5.0,2223.2
