date,channel,spend
2023-01-01,partner,10051.199999999999
2023-01-01,other,4524.0
2023-01-01,organic,3524.4
2023-01-01,event,9626.0
2023-01-01,ads,26070.0
2023-02-01,partner,18507.6
2023-02-01,other,5342.400000000001
2023-02-01,organic,5893.5
2023-02-01,event,17995.0
2023-02-01,ads,15544.5
2023-03-01,partner,14337.6
2023-03-01,other,9351.2
2023-03-01,organic,1667.3999999999999
2023-03-01,event,13697.0
2023-03-01,ads,12169.5
2023-04-01,partner,16177.199999999999
2023-04-01,other,15299.2
2023-04-01,organic,2568.9
2023-04-01,event,5574.0
2023-04-01,ads,9892.5
2023-05-01,partner,12838.8
2023-05-01,other,8192.0
2023-05-01,organic,3001.2
2023-05-01,event,17700.0
2023-05-01,ads,22741.5
2023-06-01,partner,20204.399999999998
2023-06-01,other,8090.400000000001
2023-06-01,organic,2651.4
2023-06-01,event,12187.0
2023-06-01,ads,20458.5
2023-07-01,partner,20068.8
2023-07-01,other,14548.800000000001
2023-07-01,organic,4161.599999999999
2023-07-01,event,11109.0
2023-07-01,ads,9277.5
2023-08-01,partner,9592.8
2023-08-01,other,11116.0
2023-08-01,organic,2256.9
2023-08-01,event,12332.0
2023-08-01,ads,15360.0
2023-09-01,partner,15057.599999999999
2023-09-01,other,11144.800000000001
2023-09-01,organic,2041.1999999999998
2023-09-01,event,6337.0
2023-09-01,ads,12600.0
2023-10-01,partner,12692.4
2023-10-01,other,12085.6
2023-10-01,organic,2193.2999999999997
2023-10-01,event,8390.0
2023-10-01,ads,10398.0
2023-11-01,partner,17256.0
2023-11-01,other,6576.0
2023-11-01,organic,2236.2
2023-11-01,event,17457.0
2023-11-01,ads,18345.0
2023-12-01,partner,13366.8
2023-12-01,other,4287.2
2023-12-01,organic,4397.4
2023-12-01,event,15924.0
2023-12-01,ads,19249.5
2024-01-01,partner,10407.6
2024-01-01,other,10028.0
2024-01-01,organic,2886.6
2024-01-01,event,16951.0
2024-01-01,ads,15286.5
2024-02-01,partner,22076.399999999998
2024-02-01,other,5083.200000000001
2024-02-01,organic,1904.6999999999998
2024-02-01,event,5806.0
2024-02-01,ads,25135.5
2024-03-01,partner,18090.0
2024-03-01,other,7064.8
2024-03-01,organic,5366.4
2024-03-01,event,6691.0
2024-03-01,ads,26122.5
2024-04-01,partner,6500.4
2024-04-01,other,7948.0
2024-04-01,organic,1561.8
2024-04-01,event,5919.0
2024-04-01,ads,19602.0
2024-05-01,partner,14422.8
2024-05-01,other,11105.6
2024-05-01,organic,4109.7
2024-05-01,event,7553.0
2024-05-01,ads,21744.0
2024-06-01,partner,7711.2
2024-06-01,other,10465.6
2024-06-01,organic,5973.3
2024-06-01,event,15823.0
2024-06-01,ads,18606.0
2024-07-01,partner,19359.6
2024-07-01,other,8421.6
2024-07-01,organic,1663.2
2024-07-01,event,13003.0
2024-07-01,ads,16294.5
2024-08-01,partner,13903.199999999999
2024-08-01,other,4832.8
2024-08-01,organic,5162.7
2024-08-01,event,7258.0
2024-08-01,ads,23749.5
2024-09-01,partner,8514.0
2024-09-01,other,9348.800000000001
2024-09-01,organic,5169.599999999999
2024-09-01,event,16995.0
2024-09-01,ads,16023.0
2024-10-01,partner,10525.199999999999
2024-10-01,other,5476.0
2024-10-01,organic,2399.7
2024-10-01,event,13751.0
2024-10-01,ads,23883.0
2024-11-01,partner,20374.8
2024-11-01,other,9132.800000000001
2024-11-01,organic,3699.8999999999996
2024-11-01,event,7961.0
2024-11-01,ads,19314.0
2024-12-01,partner,22008.0
2024-12-01,other,12233.6
2024-12-01,organic,4719.599999999999
2024-12-01,event,7234.0
2024-12-01,ads,9355.5
