signup_date,channel,new_users
2023-01-01,ads,3
2023-01-01,event,3
2023-01-01,organic,5
2023-01-01,other,3
2023-01-01,partner,3
2023-02-01,ads,7
2023-02-01,event,4
2023-02-01,organic,1
2023-02-01,other,2
2023-02-01,partner,4
2023-03-01,ads,1
2023-03-01,event,4
2023-03-01,organic,4
2023-03-01,other,8
2023-03-01,partner,3
2023-04-01,ads,4
2023-04-01,event,2
2023-04-01,organic,4
2023-04-01,partner,5
2023-05-01,ads,8
2023-05-01,event,7
2023-05-01,organic,2
2023-05-01,other,6
2023-05-01,partner,3
2023-06-01,ads,1
2023-06-01,event,2
2023-06-01,organic,3
2023-06-01,other,5
2023-06-01,partner,2
2023-07-01,ads,3
2023-07-01,event,2
2023-07-01,organic,4
2023-07-01,other,1
2023-07-01,partner,4
2023-08-01,ads,3
2023-08-01,event,4
2023-08-01,organic,1
2023-08-01,other,5
2023-08-01,partner,3
2023-09-01,ads,4
2023-09-01,event,3
2023-09-01,organic,7
2023-09-01,other,5
2023-09-01,partner,4
2023-10-01,ads,5
2023-10-01,event,3
2023-10-01,organic,3
2023-10-01,other,4
2023-10-01,partner,5
2023-11-01,ads,5
2023-11-01,event,7
2023-11-01,organic,7
2023-11-01,other,5
2023-11-01,partner,1
2023-12-01,ads,4
2023-12-01,event,3
2023-12-01,organic,2
2023-12-01,other,3
2023-12-01,partner,8
2024-01-01,ads,3
2024-01-01,event,2
2024-01-01,organic,2
2024-01-01,other,4
2024-01-01,partner,5
2024-02-01,ads,4
2024-02-01,event,2
2024-02-01,organic,6
2024-02-01,other,1
2024-03-01,ads,5
2024-03-01,event,5
2024-03-01,organic,5
2024-03-01,other,9
2024-03-01,partner,3
2024-04-01,ads,7
2024-04-01,event,5
2024-04-01,organic,5
2024-04-01,other,3
2024-04-01,partner,2
2024-05-01,event,1
2024-05-01,organic,10
2024-05-01,other,6
2024-05-01,partner,5
2024-06-01,ads,11
2024-06-01,event,7
2024-06-01,organic,1
2024-06-01,other,1
2024-06-01,partner,1
2024-07-01,ads,5
2024-07-01,event,3
2024-07-01,organic,6
2024-07-01,other,6
2024-07-01,partner,6
2024-08-01,ads,2
2024-08-01,event,4
2024-08-01,organic,7
2024-08-01,other,5
2024-08-01,partner,3
2024-09-01,ads,4
2024-09-01,event,6
2024-09-01,organic,5
2024-09-01,other,4
2024-09-01,partner,6
2024-10-01,ads,3
2024-10-01,event,7
2024-10-01,organic,7
2024-10-01,other,8
2024-10-01,partner,6
2024-11-01,ads,4
2024-11-01,event,7
2024-11-01,organic,13
2024-11-01,other,5
2024-11-01,partner,3
2024-12-01,ads,2
2024-12-01,event,3
2024-12-01,organic,4
2024-12-01,other,4
2024-12-01,partner,4
