"subscription_id","account_id","start_date","end_date","is_active","plan_tier","billing_frequency","seats","mrr_amount","arr_amount","is_trial","upgrade_flag","downgrade_flag","churn_flag","signup_date","country","industry","channel"
S-8cec59,A-3c1a3f,2023-12-23,2024-04-12,0,Enterprise,monthly,14,2786,33432,false,false,false,true,2023-08-26,UK,DevTools,event
S-0f6f44,A-9b9fe9,2024-06-11,,1,Pro,monthly,17,833,9996,false,false,false,false,2023-09-28,AU,EdTech,other
S-51c0d1,A-659280,2024-11-25,,1,Enterprise,annual,62,0,0,true,true,false,false,2023-11-17,IN,FinTech,event
S-f81687,A-e7a1e2,2024-11-23,2024-12-13,0,Enterprise,monthly,5,995,11940,false,false,false,true,2024-06-23,US,Cybersecurity,event
S-cff5a2,A-ba6516,2024-01-10,,1,Enterprise,monthly,27,5373,64476,false,false,false,false,2023-10-29,US,FinTech,ads
S-4b9b13,A-fa2041,2024-08-13,,1,Pro,monthly,15,735,8820,false,false,false,false,2024-05-29,US,HealthTech,organic
S-dceac6,A-417d2f,2023-12-30,,1,Enterprise,annual,4,796,9552,false,false,false,false,2023-07-04,IN,Cybersecurity,partner
S-8cad7b,A-5f2961,2024-12-23,,1,Basic,annual,16,304,3648,false,false,false,false,2024-11-22,US,HealthTech,partner
S-24796e,A-cc8c8f,2024-11-27,,1,Enterprise,annual,23,4577,54924,false,false,false,false,2024-06-16,US,DevTools,ads
S-d0c344,A-80eeb6,2024-10-27,,1,Pro,annual,22,1078,12936,false,false,false,false,2023-05-09,UK,Cybersecurity,organic
S-477506,A-f03140,2024-02-06,,1,Pro,annual,27,1323,15876,false,false,false,false,2023-11-22,IN,DevTools,event
S-79a9e1,A-3a5ad8,2024-12-25,,1,Enterprise,annual,22,0,0,true,false,false,false,2023-12-05,US,HealthTech,organic
S-59dc4b,A-f17767,2023-09-17,,1,Pro,monthly,26,1274,15288,false,true,true,false,2023-01-30,US,DevTools,event
S-7acd8b,A-7920cc,2024-07-17,,1,Basic,annual,39,741,8892,false,false,false,false,2023-11-23,FR,Cybersecurity,ads
S-428e9a,A-8ae3fc,2024-10-12,,1,Enterprise,monthly,88,0,0,true,false,false,false,2024-06-28,CA,DevTools,ads
S-486088,A-0cc442,2024-09-18,,1,Pro,monthly,45,2205,26460,false,false,false,false,2024-07-18,US,EdTech,organic
S-13939b,A-86902e,2023-07-21,2024-08-03,0,Pro,monthly,34,0,0,true,false,false,true,2023-05-02,IN,HealthTech,other
S-9333c5,A-ef84cf,2024-06-06,2024-08-13,0,Basic,annual,8,152,1824,false,false,false,true,2024-03-01,US,EdTech,partner
S-37e3ad,A-b30291,2024-04-25,,1,Basic,monthly,5,95,1140,false,false,false,false,2024-04-05,US,HealthTech,event
S-b17d04,A-e19ff6,2024-03-06,,1,Pro,monthly,8,392,4704,false,false,false,false,2023-07-28,UK,Cybersecurity,partner
S-c27134,A-dec005,2024-03-31,,1,Pro,monthly,21,0,0,true,false,false,false,2023-10-13,US,HealthTech,partner
S-3bd427,A-2e3bad,2024-12-04,2024-12-27,0,Basic,monthly,61,1159,13908,false,false,false,true,2023-08-13,CA,FinTech,other
S-82989b,A-f5641b,2024-11-30,,1,Basic,monthly,31,589,7068,false,false,false,false,2024-03-30,US,EdTech,other
S-082b15,A-aa9511,2024-02-09,,1,Enterprise,annual,97,19303,231636,false,false,false,false,2023-10-10,US,DevTools,other
S-434140,A-075038,2024-02-25,,1,Pro,annual,17,833,9996,false,false,false,false,2023-05-12,UK,HealthTech,ads
S-c07ede,A-cea1f0,2024-10-07,,1,Pro,annual,8,392,4704,false,false,false,false,2024-04-07,US,FinTech,event
S-287914,A-a1b80b,2024-08-15,,1,Pro,annual,16,784,9408,false,false,false,false,2023-11-27,US,HealthTech,organic
S-b3bd43,A-b2225d,2024-11-03,,1,Pro,monthly,50,2450,29400,false,false,false,false,2024-03-08,US,FinTech,ads
S-4c82da,A-b9eed8,2024-08-01,,1,Pro,monthly,11,539,6468,false,false,false,false,2024-02-23,US,Cybersecurity,organic
S-c75159,A-bcf87c,2024-08-22,2024-09-28,0,Enterprise,monthly,31,6169,74028,false,false,false,true,2024-06-27,US,FinTech,event
S-b5643b,A-9f9299,2024-06-11,,1,Enterprise,annual,28,5572,66864,false,false,false,false,2023-09-02,US,FinTech,organic
S-49a9aa,A-10b8f2,2023-06-16,,1,Basic,annual,51,969,11628,false,false,false,false,2023-01-11,DE,HealthTech,organic
S-2877e6,A-95b24a,2024-06-28,,1,Enterprise,monthly,38,0,0,true,true,true,false,2023-06-06,US,FinTech,event
S-8c10c1,A-0651a4,2024-12-25,,1,Enterprise,annual,65,12935,155220,false,false,false,false,2024-10-16,FR,HealthTech,organic
S-d7d398,A-fb186e,2024-12-28,,1,Enterprise,annual,29,0,0,true,false,false,false,2024-10-27,IN,EdTech,organic
S-ddad91,A-40906c,2024-06-21,,1,Enterprise,annual,92,0,0,true,false,false,false,2024-03-27,US,EdTech,ads
S-6762fa,A-40a557,2024-02-12,,1,Enterprise,annual,16,3184,38208,false,false,false,false,2023-12-03,AU,Cybersecurity,partner
S-bb1cf1,A-3a5ad8,2024-09-07,,1,Enterprise,monthly,9,0,0,true,true,false,false,2023-12-05,US,HealthTech,organic
S-a805a5,A-2789e3,2024-09-18,,1,Basic,monthly,33,627,7524,false,false,false,false,2024-09-14,US,FinTech,partner
S-da0a69,A-49b828,2023-05-11,,1,Pro,monthly,6,294,3528,false,false,false,false,2023-05-05,IN,FinTech,ads
S-59c5d7,A-c16b88,2024-10-19,,1,Basic,monthly,35,665,7980,false,true,false,false,2023-12-02,US,HealthTech,event
S-d3faae,A-5c9849,2024-11-12,,1,Basic,monthly,19,361,4332,false,false,false,false,2024-11-03,IN,EdTech,partner
S-73a4e4,A-993085,2024-09-09,,1,Pro,monthly,31,1519,18228,false,false,false,false,2023-06-01,US,HealthTech,ads
S-35c8a3,A-e4144b,2024-12-22,,1,Enterprise,annual,41,8159,97908,false,false,false,false,2024-10-22,UK,EdTech,other
S-99fbf7,A-7dacce,2024-09-10,,1,Enterprise,annual,12,2388,28656,false,false,false,false,2024-09-10,CA,Cybersecurity,event
S-e97b9f,A-a0ca4e,2024-03-16,,1,Enterprise,annual,12,2388,28656,false,false,false,false,2024-03-08,US,Cybersecurity,ads
S-763d33,A-ef84cf,2024-07-25,,1,Basic,annual,23,437,5244,false,false,true,false,2024-03-01,US,EdTech,partner
S-323782,A-7920cc,2024-02-22,,1,Basic,monthly,39,741,8892,false,false,false,false,2023-11-23,FR,Cybersecurity,ads
S-1cff18,A-2789e3,2024-10-03,,1,Basic,monthly,11,209,2508,false,false,false,false,2024-09-14,US,FinTech,partner
S-ad39ef,A-e40f45,2024-08-25,,1,Pro,annual,21,0,0,true,true,false,false,2024-04-18,US,HealthTech,organic
S-bf806d,A-7c5768,2024-09-21,,1,Basic,annual,62,1178,14136,false,false,false,false,2024-03-02,UK,HealthTech,event
S-36f6ec,A-ccb686,2024-08-16,,1,Pro,monthly,21,1029,12348,false,true,false,false,2024-01-22,US,DevTools,other
S-aff55c,A-bb2f49,2024-01-14,2024-12-29,0,Pro,monthly,8,0,0,true,false,false,true,2023-05-28,US,Cybersecurity,other
S-b9fc6c,A-2ebb4b,2023-06-16,,1,Basic,annual,41,779,9348,false,false,false,false,2023-05-15,US,HealthTech,ads
S-7f8cd8,A-53f4e3,2024-09-18,2024-11-17,0,Enterprise,monthly,20,3980,47760,false,false,false,true,2024-06-14,UK,Cybersecurity,event
S-e912e6,A-a8d89d,2023-12-12,,1,Enterprise,monthly,78,15522,186264,false,false,false,false,2023-12-08,US,EdTech,ads
S-fef85a,A-7f8241,2024-08-06,,1,Pro,annual,34,1666,19992,false,false,false,false,2023-03-14,US,EdTech,organic
S-36d5c9,A-54ecc2,2023-09-16,,1,Enterprise,monthly,11,2189,26268,false,false,false,false,2023-06-11,US,Cybersecurity,partner
S-b9ff15,A-95b24a,2024-01-08,,1,Enterprise,annual,43,8557,102684,false,false,false,false,2023-06-06,US,FinTech,event
S-10bd09,A-bbc346,2024-09-03,,1,Basic,annual,50,950,11400,false,false,false,false,2024-08-29,US,FinTech,partner
S-12bfc8,A-31ab9a,2024-12-06,,1,Enterprise,monthly,29,5771,69252,false,false,false,false,2024-03-03,DE,FinTech,organic
S-f5c472,A-faa28c,2024-07-09,,1,Basic,monthly,48,912,10944,false,false,false,false,2024-01-30,US,HealthTech,organic
S-dbc1ca,A-8adedc,2024-04-24,,1,Enterprise,annual,14,2786,33432,false,false,false,false,2024-02-11,US,EdTech,event
S-dc6dfd,A-e08cd3,2024-09-30,,1,Pro,monthly,67,3283,39396,false,false,false,false,2024-09-21,US,FinTech,ads
S-b2d472,A-bcf87c,2024-08-27,2024-12-11,0,Enterprise,annual,10,1990,23880,false,false,false,true,2024-06-27,US,FinTech,event
S-9dfce0,A-e6afc1,2024-08-30,,1,Pro,annual,2,98,1176,false,false,false,false,2023-02-24,US,DevTools,ads
S-9cb6a7,A-7f29a7,2024-12-21,,1,Basic,monthly,41,779,9348,false,false,false,false,2024-09-18,UK,Cybersecurity,event
S-dabcd2,A-3ce5b8,2024-09-22,,1,Pro,monthly,28,0,0,true,false,false,false,2023-09-07,IN,FinTech,ads
S-8c3cc8,A-b2225d,2024-10-17,,1,Basic,monthly,47,0,0,true,false,false,false,2024-03-08,US,FinTech,ads
S-2923fc,A-fa3095,2024-07-08,,1,Enterprise,annual,70,13930,167160,false,false,false,false,2023-09-03,US,FinTech,ads
S-f0a2e5,A-55f257,2024-06-05,,1,Basic,annual,23,0,0,true,false,false,false,2023-12-21,US,FinTech,organic
S-025bea,A-9affe6,2024-06-25,,1,Pro,monthly,17,833,9996,false,true,false,false,2023-03-22,US,Cybersecurity,other
S-0e499f,A-296d7c,2024-08-17,,1,Pro,annual,16,784,9408,false,false,false,false,2023-11-08,DE,DevTools,other
S-0267b7,A-65a46c,2024-10-17,2024-12-04,0,Enterprise,monthly,13,0,0,true,false,false,true,2023-11-04,US,HealthTech,event
S-b5b9a5,A-812c5b,2024-07-25,,1,Basic,monthly,55,1045,12540,false,false,false,false,2024-02-25,CA,DevTools,organic
S-8e45ba,A-7f8241,2023-12-13,,1,Basic,annual,34,646,7752,false,false,false,false,2023-03-14,US,EdTech,organic
S-37ed34,A-d4ac0e,2024-07-07,,1,Enterprise,annual,20,3980,47760,false,false,false,false,2024-04-20,UK,DevTools,ads
S-65dbf3,A-17939a,2024-12-28,,1,Basic,monthly,36,684,8208,false,false,false,false,2024-12-26,US,HealthTech,organic
S-ce5450,A-0a282f,2024-12-25,2024-12-28,0,Pro,annual,8,0,0,true,false,false,true,2024-08-27,US,DevTools,organic
S-6c969d,A-855a48,2024-05-08,,1,Basic,monthly,14,266,3192,false,false,false,false,2023-12-22,US,EdTech,partner
S-522aef,A-f3ff05,2024-08-22,,1,Pro,annual,4,196,2352,false,false,false,false,2024-07-06,IN,FinTech,other
S-82db05,A-417d2f,2024-12-09,,1,Pro,monthly,26,1274,15288,false,false,false,false,2023-07-04,IN,Cybersecurity,partner
S-162596,A-462d45,2024-02-29,,1,Pro,monthly,18,0,0,true,false,false,false,2024-01-15,US,Cybersecurity,partner
S-f703bd,A-202b67,2024-09-04,,1,Pro,monthly,11,539,6468,false,false,false,false,2024-03-22,US,HealthTech,organic
S-a1d6ad,A-eafc6e,2024-09-01,,1,Pro,monthly,27,1323,15876,false,false,false,false,2023-07-06,US,DevTools,partner
S-8b1fc1,A-309e54,2024-12-26,,1,Basic,monthly,15,0,0,true,false,false,false,2024-12-09,US,DevTools,other
S-09cdac,A-82861f,2024-07-31,2024-09-04,0,Basic,annual,41,779,9348,false,false,false,true,2024-04-25,UK,DevTools,organic
