"month","channel","active_users","churned_users","total_revenue","arpu","churn_rate","cac","ltv","payback_period"
2023-01-01,organic,1,0,3753.00,3753.00,0.0000,704.88,,0.19
2023-01-01,other,1,0,931.00,931.00,0.0000,1508.00,,1.62
2023-02-01,ads,1,0,494.00,494.00,0.0000,2220.64,,4.50
2023-02-01,event,1,0,686.00,686.00,0.0000,4498.75,,6.56
2023-02-01,organic,5,0,10498.00,2099.60,0.0000,5893.50,,2.81
2023-02-01,other,1,0,931.00,931.00,0.0000,2671.20,,2.87
2023-02-01,partner,2,0,3154.00,1577.00,0.0000,4626.90,,2.93
2023-03-01,ads,3,0,2160.00,720.00,0.0000,12169.50,,16.90
2023-03-01,event,5,0,15109.00,3021.80,0.0000,3424.25,,1.13
2023-03-01,organic,6,0,12173.00,2028.83,0.0000,416.85,,0.21
2023-03-01,other,4,0,6500.00,1625.00,0.0000,1168.90,,0.72
2023-03-01,partner,3,0,5706.00,1902.00,0.0000,4779.20,,2.51
2023-04-01,ads,5,1,2405.00,481.00,0.2000,2473.13,2405.00,5.14
2023-04-01,event,7,0,24288.00,3469.71,0.0000,2787.00,,0.80
2023-04-01,organic,9,0,19407.00,2156.33,0.0000,642.23,,0.30
2023-04-01,other,8,0,15106.00,1888.25,0.0000,,,
2023-04-01,partner,7,0,22230.00,3175.71,0.0000,3235.44,,1.02
2023-05-01,ads,12,0,22112.00,1842.67,0.0000,2842.69,,1.54
2023-05-01,event,7,0,50833.00,7261.86,0.0000,2528.57,,0.35
2023-05-01,organic,10,0,38759.00,3875.90,0.0000,1500.60,,0.39
2023-05-01,other,10,0,25230.00,2523.00,0.0000,1365.33,,0.54
2023-05-01,partner,11,0,32176.00,2925.09,0.0000,4279.60,,1.46
2023-06-01,ads,16,0,31885.00,1992.81,0.0000,20458.50,,10.27
2023-06-01,event,10,0,59494.00,5949.40,0.0000,6093.50,,1.02
2023-06-01,organic,13,0,63032.00,4848.62,0.0000,883.80,,0.18
2023-06-01,other,19,0,48622.00,2559.05,0.0000,1618.08,,0.63
2023-06-01,partner,13,1,41064.00,3158.77,0.0769,10102.20,41076.33,3.20
2023-07-01,ads,23,0,75202.00,3269.65,0.0000,3092.50,,0.95
2023-07-01,event,16,1,73941.00,4621.31,0.0625,5554.50,73940.96,1.20
2023-07-01,organic,14,0,79605.00,5686.07,0.0000,1040.40,,0.18
2023-07-01,other,20,0,74888.00,3744.40,0.0000,14548.80,,3.89
2023-07-01,partner,16,0,59707.00,3731.69,0.0000,5017.20,,1.34
2023-08-01,ads,28,0,104674.00,3738.36,0.0000,5120.00,,1.37
2023-08-01,event,22,1,106739.00,4851.77,0.0455,3083.00,106632.31,0.64
2023-08-01,organic,18,0,104489.00,5804.94,0.0000,2256.90,,0.39
2023-08-01,other,25,0,104370.00,4174.80,0.0000,2223.20,,0.53
2023-08-01,partner,23,0,108464.00,4715.83,0.0000,3197.60,,0.68
2023-09-01,ads,31,0,140241.00,4523.90,0.0000,3150.00,,0.70
2023-09-01,event,26,0,137379.00,5283.81,0.0000,2112.33,,0.40
2023-09-01,organic,20,0,122170.00,6108.50,0.0000,291.60,,0.05
2023-09-01,other,28,0,120791.00,4313.96,0.0000,2228.96,,0.52
2023-09-01,partner,26,0,123691.00,4757.35,0.0000,3764.40,,0.79
2023-10-01,ads,33,0,194030.00,5879.70,0.0000,2079.60,,0.35
2023-10-01,event,28,1,162845.00,5815.89,0.0357,2796.67,162910.08,0.48
2023-10-01,organic,24,0,192429.00,8017.88,0.0000,731.10,,0.09
2023-10-01,other,33,1,135604.00,4109.21,0.0303,3021.40,135617.49,0.74
2023-10-01,partner,31,1,141882.00,4576.84,0.0323,2538.48,141697.83,0.55
2023-11-01,ads,37,3,213713.00,5776.03,0.0811,3669.00,71221.09,0.64
2023-11-01,event,35,2,201342.00,5752.63,0.0571,2493.86,100746.58,0.43
2023-11-01,organic,29,2,263185.00,9075.34,0.0690,319.46,131526.67,0.04
2023-11-01,other,33,1,180187.00,5460.21,0.0303,1315.20,180204.95,0.24
2023-11-01,partner,37,0,180080.00,4867.03,0.0000,17256.00,,3.55
2023-12-01,ads,42,0,310568.00,7394.48,0.0000,4812.38,,0.65
2023-12-01,event,37,1,250362.00,6766.54,0.0270,5308.00,250612.59,0.78
2023-12-01,organic,34,0,286308.00,8420.82,0.0000,2198.70,,0.26
2023-12-01,other,38,2,220178.00,5794.16,0.0526,1429.07,110155.13,0.25
2023-12-01,partner,39,0,214796.00,5507.59,0.0000,1670.85,,0.30
2024-01-01,ads,46,1,357815.00,7778.59,0.0217,5095.50,358460.37,0.66
2024-01-01,event,41,4,262878.00,6411.66,0.0976,8475.50,65693.24,1.32
2024-01-01,organic,39,2,351728.00,9018.67,0.0513,1443.30,175802.53,0.16
2024-01-01,other,46,1,276991.00,6021.54,0.0217,2507.00,277490.32,0.42
2024-01-01,partner,45,3,289634.00,6436.31,0.0667,2081.52,96496.40,0.32
2024-02-01,ads,50,2,442542.00,8850.84,0.0400,6283.88,221271.00,0.71
2024-02-01,event,43,2,330671.00,7690.02,0.0465,2903.00,165376.77,0.38
2024-02-01,organic,44,2,439746.00,9994.23,0.0455,317.45,219653.41,0.03
2024-02-01,other,50,0,330044.00,6600.88,0.0000,5083.20,,0.77
2024-02-01,partner,48,1,345124.00,7190.08,0.0208,,345676.92,
2024-03-01,ads,54,2,538265.00,9967.87,0.0370,5224.50,269401.89,0.52
2024-03-01,event,49,2,400714.00,8177.84,0.0408,1338.20,200437.25,0.16
2024-03-01,organic,51,1,509477.00,9989.75,0.0196,1073.28,509681.12,0.11
2024-03-01,other,55,2,409765.00,7450.27,0.0364,784.98,204677.75,0.11
2024-03-01,partner,51,2,437473.00,8577.90,0.0392,6030.00,218823.98,0.70
2024-04-01,ads,61,2,605648.00,9928.66,0.0328,2800.29,302703.05,0.28
2024-04-01,event,53,4,456857.00,8619.94,0.0755,1183.80,114171.39,0.14
2024-04-01,organic,57,3,626104.00,10984.28,0.0526,312.36,208826.62,0.03
2024-04-01,other,59,2,509068.00,8628.27,0.0339,2649.33,254521.24,0.31
2024-04-01,partner,52,1,524447.00,10085.52,0.0192,3250.20,525287.50,0.32
2024-05-01,ads,67,2,687909.00,10267.30,0.0299,,343387.96,
2024-05-01,event,56,0,539087.00,9626.55,0.0000,7553.00,,0.78
2024-05-01,organic,66,3,828107.00,12547.08,0.0455,410.97,275760.00,0.03
2024-05-01,other,64,3,636701.00,9948.45,0.0469,1850.93,212120.47,0.19
2024-05-01,partner,57,4,647981.00,11368.09,0.0702,2884.56,161938.60,0.25
2024-06-01,ads,74,4,818308.00,11058.22,0.0541,1691.45,204403.33,0.15
2024-06-01,event,62,4,619487.00,9991.73,0.0645,2260.43,154910.54,0.23
2024-06-01,organic,72,0,954228.00,13253.17,0.0000,5973.30,,0.45
2024-06-01,other,68,1,726179.00,10679.10,0.0147,10465.60,726469.39,0.98
2024-06-01,partner,61,4,735805.00,12062.38,0.0656,7711.20,183877.74,0.64
2024-07-01,ads,83,3,1019877.00,12287.67,0.0361,3258.90,340378.67,0.27
2024-07-01,event,68,2,707048.00,10397.76,0.0294,4334.33,353665.31,0.42
2024-07-01,organic,77,4,1096255.00,14237.08,0.0519,277.20,274317.53,0.02
2024-07-01,other,74,3,854245.00,11543.85,0.0405,1403.60,285033.33,0.12
2024-07-01,partner,63,5,863796.00,13711.05,0.0794,3226.60,172683.25,0.24
2024-08-01,ads,85,7,1161878.00,13669.15,0.0824,11874.75,165887.74,0.87
2024-08-01,event,71,2,823096.00,11592.90,0.0282,1814.50,411095.74,0.16
2024-08-01,organic,83,7,1199267.00,14449.00,0.0843,737.53,171399.76,0.05
2024-08-01,other,78,6,977978.00,12538.18,0.0769,966.56,163045.25,0.08
2024-08-01,partner,68,4,999399.00,14697.04,0.0588,4634.40,249949.66,0.32
2024-09-01,ads,88,5,1345490.00,15289.66,0.0568,4005.75,269184.15,0.26
2024-09-01,event,78,10,917650.00,11764.74,0.1282,2832.50,91768.64,0.24
2024-09-01,organic,89,9,1473123.00,16551.94,0.1011,1033.92,163718.50,0.06
2024-09-01,other,86,7,1205381.00,14016.06,0.0814,2337.20,172187.47,0.17
2024-09-01,partner,75,3,1171603.00,15621.37,0.0400,1419.00,390534.25,0.09
2024-10-01,ads,90,17,1535694.00,17063.27,0.1889,7961.00,90329.65,0.47
2024-10-01,event,85,7,1091005.00,12835.35,0.0824,1964.43,155768.81,0.15
2024-10-01,organic,94,10,1730197.00,18406.35,0.1064,342.81,172992.01,0.02
2024-10-01,other,92,8,1528972.00,16619.26,0.0870,684.50,191025.98,0.04
2024-10-01,partner,78,9,1323085.00,16962.63,0.1154,1754.20,146989.86,0.10
